Name,City,Rating,Review Count,Price,Tax,Distance From Nearby Routes,Free Cancelation,Couple Friendly,Total Amount
Hotel Wild Wings,Gachibowli,3.8,21.0,2453,683,Not provided,True,False,3136
Super Collection O Rbs Kothapet-nagole Road,LB Nagar,4.2,172.0,1048,208,Not provided,True,False,1256
Treebo Address Inn Jubilee Hills,Jubilee Hills,3.7,55.0,2355,543,Not provided,True,False,2898
Yatri Inn,Shivaji Nagar,4.2,31.0,2906,724,2.7 km drive to Hussain Sagar Lake,True,False,3630
Super Collection O De Alphabet Hotel,Bahadurpally,4.3,23.0,1867,364,Not provided,True,False,2231
Hotel KASS,Jeedimetla,3.7,91.0,3999,817,17.0 km from city centre,True,False,4816
"Treebo Virat Residency, US Consulate",Gachibowli,4.2,156.0,2650,611,"1.1 km drive to US Consulate, Hyderabad",True,False,3261
Super Townhouse Kukatpally formerly SV Royal,Kukatpally,4.0,33.0,2164,404,Not provided,True,False,2568
HOTEL VR ASHOKA GRAND,Hafeezpet,3.7,65.0,1999,553,Not provided,True,False,2552
Horizon Residency,Madhapur,3.3,628.0,1077,278,Not provided,True,False,1355
Oriva Vinflora Residency,Sri Nagar Colony,4.5,13.0,4139,962,Not provided,True,False,5101
Hotel SVM Grand- Medipally,Boduppal,3.7,43.0,3878,860,Not provided,True,False,4738
Treebo Destination Inn,Punjagutta,3.7,121.0,2713,625,Not provided,True,False,3338
FabHotel Golden Hitech,Madhapur,3.9,68.0,1447,399,Not provided,True,False,1846
Palladium Luxury Suites Unit I,Gachibowli,4.1,71.0,3139,641,Not provided,True,False,3780
